6882,4438,9532,23150,13372,7751,3015,1291,2544,6088,11233,14150,12336,10385,9101,7652,6121,8024,9626,18270,4890,2237,4122,5802,10378,8766,7342,11946,18673,9706,3283,1615,2447,5508,11171,21167,20439,14206,7124,2406,1474
14545,7708,7512,15892,15992,13015,5842,3754,8221,14940,13887,10226,6183,3459,1734,915,1090,3111,4418,9519,4301,5714,5268,6009,9556,10887,14283,10986,12535,6099,1796,737,1168,2782,5947,11368,15680,19737,13827,9019,9915
17293,8076,3096,5532,22148,23952,10552,3899,2357,4051,11775,14680,9189,5846,3643,2438,2060,4040,6486,14546,6578,8735,10825,8898,7733,7401,8700,6775,7991,3661,1219,961,1928,4748,9942,18336,14478,5416,3104,4250,6655
1936,2312,9309,23486,10970,5028,1901,2180,7869,15706,17715,19571,19599,14089,8294,4914,3397,5716,5654,9335,5097,8351,11090,10036,10185,8047,6167,7782,11174,5556,1794,1174,2245,5167,10624,20227,21813,19930,12679,7928,8962
15851,7427,3026,5729,21756,23405,10391,4312,3872,8733,24551,35341,31075,22845,15429,10647,7545,8341,8624,14208,5780,6058,3929,5846,11920,13379,17353,17911,25448,13586,4231,977,326,478,1093,2418,4266,6201,5909,7251,10598
14544,8237,10330,22401,10934,5173,1958,2184,7714,17090,24633,27437,22039,15677,10716,7364,5313,6575,9204,19803,7681,7993,9471,6998,4097,4427,6402,2522,1527,672,427,823,2076,5027,10696,19865,17678,10321,6811,7374,10714
12242,7063,10462,24662,21344,16434,6982,3022,4423,9494,18759,24918,22716,15850,9667,5964,4140,5869,5773,9331,3657,4128,2692,4403,9157,9389,10452,3797,1696,676,457,793,2025,4871,10250,19314,20770,18520,10735,4472,3456
107,1129,8111,22397,19055,14578,6282,3089,5267,11682,21774,28111,25065,19306,14241,10705,7657,8474,11158,22926,8231,6785,7328,6089,5803,4832,4177,974,205,155,236,537,1322,3267,7070,13240,10352,4566,4248,7142,11152
2970,1441,1898,5030,3724,2623,990,848,3215,6999,9265,12801,15208,11209,6724,3969,3220,6556,9418,19905,7387,7446,10116,8131,6668,7578,11072,8038,8675,3785,978,338,454,1015,2661,5235,3603,1440,1518,3038,4998
16550,8735,8440,19145,26972,24872,10958,5151,6789,11219,12242,10337,6869,5959,6382,5785,5011,7391,9261,17937,6805,6049,2979,4400,9423,7319,4331,6612,9832,4796,1585,1065,2114,4774,9992,18637,15901,8111,4301,3478,4594
1344,776,2004,5480,2137,740,451,1386,6551,14234,18621,23972,26686,19561,11850,6767,3740,3297,4640,9871,3507,4138,5993,7405,12187,11524,12002,13746,19706,10143,3255,1230,1724,4120,8726,16367,17236,15199,9474,6277,7166
10403,4926,3000,6001,8642,7786,3634,2592,6880,15083,23462,31214,32340,25072,17428,11876,7738,6527,8410,17062,6267,6386,9216,7355,5623,4785,5139,6299,8971,4200,1027,279,192,487,1208,2860,4567,5964,3698,2301,2721
1258,1898,8499,22946,20652,16239,7070,4019,7758,17468,32892,42020,36474,26603,18488,12600,8174,6546,5143,7177,4388,7031,9986,8759,8601,7266,6975,11110,16967,8838,2741,926,998,2231,4845,9082,8972,7470,4848,3724,4754
13381,6142,2268,3871,14555,15454,7053,4376,9389,18785,25423,28819,26098,18989,13019,8656,5404,4289,2145,1738,1325,2794,5318,5141,6014,8592,14626,18121,27311,15104,4741,1258,883,1815,4269,8011,8261,7663,5525,5197,7219
2125,1004,1846,7519,23432,24815,11131,4914,5358,8777,12036,13776,12155,9587,7457,5607,4124,4946,3213,3818,1513,2639,7043,7411,9256,8436,8860,13448,21423,11475,3442,679,289,308,604,1467,2601,3681,3327,4005,6024
1273,981,3840,11718,19196,18438,8208,3939,5851,11825,20914,27394,25466,19357,13966,9760,6361,5223,3142,3072,1708,3357,6627,7088,9663,10963,15425,18312,27346,15514,5198,2150,2680,5622,11461,21406,22511,19341,11216,5023,4346
5802,3348,6614,17682,25941,24000,10493,4037,3062,6194,16603,20537,13741,8203,4314,2263,1545,2685,1665,2628,2965,6595,10043,8887,8604,8623,10960,12336,17525,9051,2507,523,347,603,1454,3408,5200,6793,6012,6789,9726
12659,6772,7910,17698,15853,12346,5340,2797,5498,10737,15176,19680,20835,15506,10011,6303,3990,4466,4129,6933,2830,4450,9178,7357,4770,4939,7644,13760,22347,12211,4015,1696,2311,5196,10665,19919,17525,10177,5695,4483,6004
11154,6144,8264,20021,21758,18531,8180,4443,7882,13932,14709,12934,9265,7168,6252,5060,3805,4397,7824,17659,4692,2487,3999,5749,10508,10749,12163,9447,11383,5364,1356,378,374,758,2073,4544,7490,10361,8231,7714,10319
14084,6759,3337,5087,6343,5473,2474,2591,8428,19658,33588,39654,31002,20929,12470,7673,5010,5296,3371,3917,1145,1166,2036,3390,7042,9958,16529,18146,26088,14503,4833,1984,2540,5503,11298,21142,20098,13581,7537,4197,4465
12030,5819,3475,5980,5275,4135,1848,1993,6740,13812,15681,14974,11832,9520,8309,7064,5965,8646,11588,22976,8359,7556,8808,9390,13486,14295,17878,19305,28113,15946,5124,1601,1169,2634,5716,10997,15476,19230,13159,7559,7728
503,786,4513,12198,10422,7726,3332,2713,7817,16057,21014,19261,11853,7355,4778,3282,2158,2774,2435,4538,3617,7045,8942,8784,10979,11879,15427,15639,22065,11873,3677,1042,796,1715,3955,7945,10658,12690,7917,3821,3449
17505,9176,8608,18370,22686,20131,9091,4725,7928,13523,14309,14919,15896,13682,11753,9440,7428,9375,11449,21861,7915,6400,2896,3934,8260,9944,14256,12687,16237,8323,2434,706,506,1189,2877,5545,7066,7966,6187,6089,8515
1065,2159,10265,27430,20741,14914,6402,2856,4551,11197,26340,36626,32815,24612,17594,12450,8733,9075,11307,22938,6732,3622,7095,6705,7083,6334,6565,7759,10969,5564,1802,1089,1967,4555,9318,17321,14063,6738,5532,8053,12684
2970,2250,6735,18398,21214,18368,8256,4089,6762,12011,13995,12348,8010,6341,6063,5520,4918,7528,10033,20378,5894,2880,5067,6370,10295,8147,5293,7349,10966,5520,1811,1155,2088,4756,9835,18567,19216,16068,9021,3884,3214
8981,5009,7293,16652,10024,6203,2263,819,1553,5603,15673,19871,13796,10460,8958,7564,6169,8406,11158,22369,7665,5063,2296,2609,5213,5938,7602,4430,4327,1721,568,458,887,2318,5380,10345,11943,12259,9128,8535,11633
